Questions,Acceptance Rate,Difficulty,Links
1626. Best Team With No Conflicts,51.10%,Medium,https://leetcode.com/problems/best-team-with-no-conflicts/
1627. Graph Connectivity With Threshold,46.40%,Hard,https://leetcode.com/problems/graph-connectivity-with-threshold/
1628. Design an Expression Tree With Evaluate Function,82.80%,Medium,https://leetcode.com/problems/design-an-expression-tree-with-evaluate-function/
1629. Slowest Key,59.10%,Easy,https://leetcode.com/problems/slowest-key/
1630. Arithmetic Subarrays,80.40%,Medium,https://leetcode.com/problems/arithmetic-subarrays/
1631. Path With Minimum Effort,55.80%,Medium,https://leetcode.com/problems/path-with-minimum-effort/
1632. Rank Transform of a Matrix,40.90%,Hard,https://leetcode.com/problems/rank-transform-of-a-matrix/
1633. Percentage of Users Attended a Contest,64.10%,Easy,https://leetcode.com/problems/percentage-of-users-attended-a-contest/
1634. Add Two Polynomials Represented as Linked Lists,54.80%,Medium,https://leetcode.com/problems/add-two-polynomials-represented-as-linked-lists/
1635. Hopper Company Queries I,50.30%,Hard,https://leetcode.com/problems/hopper-company-queries-i/
1636. Sort Array by Increasing Frequency,69.70%,Easy,https://leetcode.com/problems/sort-array-by-increasing-frequency/
1637. Widest Vertical Area Between Two Points Containing No Points,84.40%,Medium,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/
1638. Count Substrings That Differ by One Character,71.20%,Medium,https://leetcode.com/problems/count-substrings-that-differ-by-one-character/
1639. Number of Ways to Form a Target String Given a Dictionary,53.90%,Hard,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary/
1640. Check Array Formation Through Concatenation,56.30%,Easy,https://leetcode.com/problems/check-array-formation-through-concatenation/
1641. Count Sorted Vowel Strings,77.50%,Medium,https://leetcode.com/problems/count-sorted-vowel-strings/
1642. Furthest Building You Can Reach,48.30%,Medium,https://leetcode.com/problems/furthest-building-you-can-reach/
1643. Kth Smallest Instructions,47.20%,Hard,https://leetcode.com/problems/kth-smallest-instructions/
1644. Lowest Common Ancestor of a Binary Tree II,60.10%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/
1645. Hopper Company Queries II,38.70%,Hard,https://leetcode.com/problems/hopper-company-queries-ii/
1646. Get Maximum in Generated Array,50.20%,Easy,https://leetcode.com/problems/get-maximum-in-generated-array/
1647. Minimum Deletions to Make Character Frequencies Unique,59.00%,Medium,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/
1648. Sell Diminishing-Valued Colored Balls,30.40%,Medium,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/
1649. Create Sorted Array through Instructions,37.60%,Hard,https://leetcode.com/problems/create-sorted-array-through-instructions/
1650. Lowest Common Ancestor of a Binary Tree III,77.40%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/
1651. Hopper Company Queries III,68.00%,Hard,https://leetcode.com/problems/hopper-company-queries-iii/
1652. Defuse the Bomb,62.60%,Easy,https://leetcode.com/problems/defuse-the-bomb/
1653. Minimum Deletions to Make String Balanced,58.90%,Medium,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/
1654. Minimum Jumps to Reach Home,29.20%,Medium,https://leetcode.com/problems/minimum-jumps-to-reach-home/
1655. Distribute Repeating Integers,39.40%,Hard,https://leetcode.com/problems/distribute-repeating-integers/
1656. Design an Ordered Stream,85.00%,Easy,https://leetcode.com/problems/design-an-ordered-stream/
1657. Determine if Two Strings Are Close,56.20%,Medium,https://leetcode.com/problems/determine-if-two-strings-are-close/
1658. Minimum Operations to Reduce X to Zero,37.60%,Medium,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/
1659. Maximize Grid Happiness,38.90%,Hard,https://leetcode.com/problems/maximize-grid-happiness/
1660. Correct a Binary Tree,72.50%,Medium,https://leetcode.com/problems/correct-a-binary-tree/
1661. Average Time of Process per Machine,75.10%,Easy,https://leetcode.com/problems/average-time-of-process-per-machine/
1662. Check If Two String Arrays are Equivalent,83.50%,Easy,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/
1663. Smallest String With A Given Numeric Value,66.70%,Medium,https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/
1664. Ways to Make a Fair Array,63.30%,Medium,https://leetcode.com/problems/ways-to-make-a-fair-array/
1665. Minimum Initial Energy to Finish Tasks,56.50%,Hard,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/
1666. Change the Root of a Binary Tree,73.10%,Medium,https://leetcode.com/problems/change-the-root-of-a-binary-tree/
1667. Fix Names in a Table,64.70%,Easy,https://leetcode.com/problems/fix-names-in-a-table/
1668. Maximum Repeating Substring,39.20%,Easy,https://leetcode.com/problems/maximum-repeating-substring/
1669. Merge In Between Linked Lists,73.60%,Medium,https://leetcode.com/problems/merge-in-between-linked-lists/
1670. Design Front Middle Back Queue,56.80%,Medium,https://leetcode.com/problems/design-front-middle-back-queue/
1671. Minimum Number of Removals to Make Mountain Array,42.20%,Hard,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/
1672. Richest Customer Wealth,87.70%,Easy,https://leetcode.com/problems/richest-customer-wealth/
1673. Find the Most Competitive Subsequence,49.20%,Medium,https://leetcode.com/problems/find-the-most-competitive-subsequence/
1674. Minimum Moves to Make Array Complementary,38.70%,Medium,https://leetcode.com/problems/minimum-moves-to-make-array-complementary/
1675. Minimize Deviation in Array,54.50%,Hard,https://leetcode.com/problems/minimize-deviation-in-array/
1676. Lowest Common Ancestor of a Binary Tree IV,79.50%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/
1677. Product's Worth Over Invoices,38.20%,Easy,https://leetcode.com/problems/products-worth-over-invoices/
1678. Goal Parser Interpretation,86.70%,Easy,https://leetcode.com/problems/goal-parser-interpretation/
1679. Max Number of K-Sum Pairs,57.20%,Medium,https://leetcode.com/problems/max-number-of-k-sum-pairs/
1680. Concatenation of Consecutive Binary Numbers,57.00%,Medium,https://leetcode.com/problems/concatenation-of-consecutive-binary-numbers/
1681. Minimum Incompatibility,38.00%,Hard,https://leetcode.com/problems/minimum-incompatibility/
1682. Longest Palindromic Subsequence II,49.70%,Medium,https://leetcode.com/problems/longest-palindromic-subsequence-ii/
1683. Invalid Tweets,88.30%,Easy,https://leetcode.com/problems/invalid-tweets/
1684. Count the Number of Consistent Strings,82.30%,Easy,https://leetcode.com/problems/count-the-number-of-consistent-strings/
1685. Sum of Absolute Differences in a Sorted Array,63.00%,Medium,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array/
1686. Stone Game VI,54.90%,Medium,https://leetcode.com/problems/stone-game-vi/
1687. Delivering Boxes from Storage to Ports,38.50%,Hard,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports/
1688. Count of Matches in Tournament,83.00%,Easy,https://leetcode.com/problems/count-of-matches-in-tournament/
1689. Partitioning Into Minimum Number Of Deci-Binary Numbers,89.10%,Medium,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/
1690. Stone Game VII,58.10%,Medium,https://leetcode.com/problems/stone-game-vii/
1691. Maximum Height by Stacking Cuboids,54.60%,Hard,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/
1692. Count Ways to Distribute Candies,62.20%,Hard,https://leetcode.com/problems/count-ways-to-distribute-candies/
1693. Daily Leads and Partners,87.90%,Easy,https://leetcode.com/problems/daily-leads-and-partners/
1694. Reformat Phone Number,65.00%,Easy,https://leetcode.com/problems/reformat-phone-number/
1695. Maximum Erasure Value,57.60%,Medium,https://leetcode.com/problems/maximum-erasure-value/
1696. Jump Game VI,46.00%,Medium,https://leetcode.com/problems/jump-game-vi/
1697. Checking Existence of Edge Length Limited Paths,63.10%,Hard,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/
1698. Number of Distinct Substrings in a String,63.40%,Medium,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string/
1699. Number of Calls Between Two Persons,82.20%,Medium,https://leetcode.com/problems/number-of-calls-between-two-persons/
1700. Number of Students Unable to Eat Lunch,69.10%,Easy,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/
1701. Average Waiting Time,62.70%,Medium,https://leetcode.com/problems/average-waiting-time/
1702. Maximum Binary String After Change,46.20%,Medium,https://leetcode.com/problems/maximum-binary-string-after-change/
1703. Minimum Adjacent Swaps for K Consecutive Ones,42.70%,Hard,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/
1704. Determine if String Halves Are Alike,77.70%,Easy,https://leetcode.com/problems/determine-if-string-halves-are-alike/
1705. Maximum Number of Eaten Apples,38.10%,Medium,https://leetcode.com/problems/maximum-number-of-eaten-apples/
1706. Where Will the Ball Fall,71.60%,Medium,https://leetcode.com/problems/where-will-the-ball-fall/
1707. Maximum XOR With an Element From Array,45.70%,Hard,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/
1708. Largest Subarray Length K,63.90%,Easy,https://leetcode.com/problems/largest-subarray-length-k/
1709. Biggest Window Between Visits,74.50%,Medium,https://leetcode.com/problems/biggest-window-between-visits/
1710. Maximum Units on a Truck,73.80%,Easy,https://leetcode.com/problems/maximum-units-on-a-truck/
1711. Count Good Meals,29.30%,Medium,https://leetcode.com/problems/count-good-meals/
1712. Ways to Split Array Into Three Subarrays,32.80%,Medium,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/
1713. Minimum Operations to Make a Subsequence,48.50%,Hard,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/
1714. Sum Of Special Evenly-Spaced Elements In Array,49.20%,Hard,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array/
1715. Count Apples and Oranges,76.00%,Medium,https://leetcode.com/problems/count-apples-and-oranges/
1716. Calculate Money in Leetcode Bank,66.30%,Easy,https://leetcode.com/problems/calculate-money-in-leetcode-bank/
1717. Maximum Score From Removing Substrings,46.20%,Medium,https://leetcode.com/problems/maximum-score-from-removing-substrings/
1718. Construct the Lexicographically Largest Valid Sequence,52.20%,Medium,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/
1719. Number Of Ways To Reconstruct A Tree,43.60%,Hard,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree/
1720. Decode XORed Array,85.80%,Easy,https://leetcode.com/problems/decode-xored-array/
1721. Swapping Nodes in a Linked List,69.00%,Medium,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/
1722. Minimize Hamming Distance After Swap Operations,48.50%,Medium,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/
1723. Find Minimum Time to Finish All Jobs,42.50%,Hard,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/
1724. Checking Existence of Edge Length Limited Paths II,52.40%,Hard,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii/
1725. Number Of Rectangles That Can Form The Largest Square,78.60%,Easy,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/
1726. Tuple with Same Product,60.70%,Medium,https://leetcode.com/problems/tuple-with-same-product/
1727. Largest Submatrix With Rearrangements,61.50%,Medium,https://leetcode.com/problems/largest-submatrix-with-rearrangements/
1728. Cat and Mouse II,39.30%,Hard,https://leetcode.com/problems/cat-and-mouse-ii/
1729. Find Followers Count,70.90%,Easy,https://leetcode.com/problems/find-followers-count/
1730. Shortest Path to Get Food,54.20%,Medium,https://leetcode.com/problems/shortest-path-to-get-food/
1731. The Number of Employees Which Report to Each Employee,47.90%,Easy,https://leetcode.com/problems/the-number-of-employees-which-report-to-each-employee/
1732. Find the Highest Altitude,79.10%,Easy,https://leetcode.com/problems/find-the-highest-altitude/
1733. Minimum Number of People to Teach,41.80%,Medium,https://leetcode.com/problems/minimum-number-of-people-to-teach/
1734. Decode XORed Permutation,63.20%,Medium,https://leetcode.com/problems/decode-xored-permutation/
1735. Count Ways to Make Array With Product,50.00%,Hard,https://leetcode.com/problems/count-ways-to-make-array-with-product/
1736. Latest Time by Replacing Hidden Digits,42.40%,Easy,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits/
1737. Change Minimum Characters to Satisfy One of Three Conditions,35.40%,Medium,https://leetcode.com/problems/change-minimum-characters-to-satisfy-one-of-three-conditions/
1738. Find Kth Largest XOR Coordinate Value,61.10%,Medium,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value/
1739. Building Boxes,51.90%,Hard,https://leetcode.com/problems/building-boxes/
1740. Find Distance in a Binary Tree,69.40%,Medium,https://leetcode.com/problems/find-distance-in-a-binary-tree/
1741. Find Total Time Spent by Each Employee,89.10%,Easy,https://leetcode.com/problems/find-total-time-spent-by-each-employee/
1742. Maximum Number of Balls in a Box,73.60%,Easy,https://leetcode.com/problems/maximum-number-of-balls-in-a-box/
1743. Restore the Array From Adjacent Pairs,68.70%,Medium,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs/
1744. Can You Eat Your Favorite Candy on Your Favorite Day?,33.10%,Medium,https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day/
1745. Palindrome Partitioning IV,45.20%,Hard,https://leetcode.com/problems/palindrome-partitioning-iv/
1746. Maximum Subarray Sum After One Operation,62.30%,Medium,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation/
1747. Leetflex Banned Accounts,66.60%,Medium,https://leetcode.com/problems/leetflex-banned-accounts/
1748. Sum of Unique Elements,76.40%,Easy,https://leetcode.com/problems/sum-of-unique-elements/
1749. Maximum Absolute Sum of Any Subarray,58.50%,Medium,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/
1750. Minimum Length of String After Deleting Similar Ends,44.20%,Medium,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends/
1751. Maximum Number of Events That Can Be Attended II,57.30%,Hard,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii/
1752. Check if Array Is Sorted and Rotated,50.10%,Easy,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/
