Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
1660. Correct a Binary Tree,72.50%,Medium,https://leetcode.com/problems/correct-a-binary-tree/,,,True
1661. Average Time of Process per Machine,75.10%,Easy,https://leetcode.com/problems/average-time-of-process-per-machine/,,,True
1662. Check If Two String Arrays are Equivalent,83.50%,Easy,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,2.2K,"Array,String",
1663. Smallest String With A Given Numeric Value,66.70%,Medium,https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/,,,True
1664. Ways to Make a Fair Array,63.30%,Medium,https://leetcode.com/problems/ways-to-make-a-fair-array/,,,True
1665. Minimum Initial Energy to Finish Tasks,56.50%,Hard,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/,,,True
1666. Change the Root of a Binary Tree,73.10%,Medium,https://leetcode.com/problems/change-the-root-of-a-binary-tree/,,,True
1667. Fix Names in a Table,64.70%,Easy,https://leetcode.com/problems/fix-names-in-a-table/,,,True
1668. Maximum Repeating Substring,39.20%,Easy,https://leetcode.com/problems/maximum-repeating-substring/,575,"String,String Matching",
1669. Merge In Between Linked Lists,73.60%,Medium,https://leetcode.com/problems/merge-in-between-linked-lists/,,,True
1670. Design Front Middle Back Queue,56.80%,Medium,https://leetcode.com/problems/design-front-middle-back-queue/,644,"Array,Linked List,Design,Queue,Data Stream",
1671. Minimum Number of Removals to Make Mountain Array,42.20%,Hard,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/,1.3K,"Array,Binary Search,Dynamic Programming,Greedy",
1672. Richest Customer Wealth,87.70%,Easy,https://leetcode.com/problems/richest-customer-wealth/,,,True
1673. Find the Most Competitive Subsequence,49.20%,Medium,https://leetcode.com/problems/find-the-most-competitive-subsequence/,1.8K,"Array,Stack,Greedy,Monotonic Stack",
1674. Minimum Moves to Make Array Complementary,38.70%,Medium,https://leetcode.com/problems/minimum-moves-to-make-array-complementary/,,,True
1675. Minimize Deviation in Array,54.50%,Hard,https://leetcode.com/problems/minimize-deviation-in-array/,,,True
1676. Lowest Common Ancestor of a Binary Tree IV,79.50%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/,,,True
1677. Product's Worth Over Invoices,38.20%,Easy,https://leetcode.com/problems/products-worth-over-invoices/,,,True
1678. Goal Parser Interpretation,86.70%,Easy,https://leetcode.com/problems/goal-parser-interpretation/,,,True
1679. Max Number of K-Sum Pairs,57.20%,Medium,https://leetcode.com/problems/max-number-of-k-sum-pairs/,2.2K,"Array,Hash Table,Two Pointers,Sorting",
1680. Concatenation of Consecutive Binary Numbers,57.00%,Medium,https://leetcode.com/problems/concatenation-of-consecutive-binary-numbers/,,,True
1681. Minimum Incompatibility,38.00%,Hard,https://leetcode.com/problems/minimum-incompatibility/,,,True
1682. Longest Palindromic Subsequence II,49.70%,Medium,https://leetcode.com/problems/longest-palindromic-subsequence-ii/,,,True
1683. Invalid Tweets,88.30%,Easy,https://leetcode.com/problems/invalid-tweets/,,,True
1684. Count the Number of Consistent Strings,82.30%,Easy,https://leetcode.com/problems/count-the-number-of-consistent-strings/,1.4K,"Array,Hash Table,String,Bit Manipulation",
1685. Sum of Absolute Differences in a Sorted Array,63.00%,Medium,https://leetcode.com/problems/sum-of-absolute-differences-in-a-sorted-array/,,,True
1686. Stone Game VI,54.90%,Medium,https://leetcode.com/problems/stone-game-vi/,674,"Array,Math,Greedy,Sorting,Heap (Priority Queue),Game Theory",
1687. Delivering Boxes from Storage to Ports,38.50%,Hard,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports/,,,True
1688. Count of Matches in Tournament,83.00%,Easy,https://leetcode.com/problems/count-of-matches-in-tournament/,924,"Math,Simulation",
1689. Partitioning Into Minimum Number Of Deci-Binary Numbers,89.10%,Medium,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,,,True
1690. Stone Game VII,58.10%,Medium,https://leetcode.com/problems/stone-game-vii/,855,"Array,Math,Dynamic Programming,Game Theory",
1691. Maximum Height by Stacking Cuboids,54.60%,Hard,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/,865,"Array,Dynamic Programming,Sorting",
1692. Count Ways to Distribute Candies,62.20%,Hard,https://leetcode.com/problems/count-ways-to-distribute-candies/,,,True
1693. Daily Leads and Partners,87.90%,Easy,https://leetcode.com/problems/daily-leads-and-partners/,,,True
1694. Reformat Phone Number,65.00%,Easy,https://leetcode.com/problems/reformat-phone-number/,,,True
1695. Maximum Erasure Value,57.60%,Medium,https://leetcode.com/problems/maximum-erasure-value/,2.6K,"Array,Hash Table,Sliding Window",
1696. Jump Game VI,46.00%,Medium,https://leetcode.com/problems/jump-game-vi/,3.1K,"Array,Dynamic Programming,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",
1697. Checking Existence of Edge Length Limited Paths,63.10%,Hard,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/,1.7K,"Array,Union Find,Graph,Sorting",
1698. Number of Distinct Substrings in a String,63.40%,Medium,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string/,,,True
1699. Number of Calls Between Two Persons,82.20%,Medium,https://leetcode.com/problems/number-of-calls-between-two-persons/,,,True
1700. Number of Students Unable to Eat Lunch,69.10%,Easy,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/,1.3K,"Array,Stack,Queue,Simulation",
1701. Average Waiting Time,62.70%,Medium,https://leetcode.com/problems/average-waiting-time/,443,"Array,Simulation",
1702. Maximum Binary String After Change,46.20%,Medium,https://leetcode.com/problems/maximum-binary-string-after-change/,441,"String,Greedy",
1703. Minimum Adjacent Swaps for K Consecutive Ones,42.70%,Hard,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/,594,"Array,Greedy,Sliding Window,Prefix Sum",
1704. Determine if String Halves Are Alike,77.70%,Easy,https://leetcode.com/problems/determine-if-string-halves-are-alike/,,,True
1705. Maximum Number of Eaten Apples,38.10%,Medium,https://leetcode.com/problems/maximum-number-of-eaten-apples/,,,True
1706. Where Will the Ball Fall,71.60%,Medium,https://leetcode.com/problems/where-will-the-ball-fall/,,,True
1707. Maximum XOR With an Element From Array,45.70%,Hard,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/,931,"Array,Bit Manipulation,Trie",
1708. Largest Subarray Length K,63.90%,Easy,https://leetcode.com/problems/largest-subarray-length-k/,,,True
1709. Biggest Window Between Visits,74.50%,Medium,https://leetcode.com/problems/biggest-window-between-visits/,,,True
1710. Maximum Units on a Truck,73.80%,Easy,https://leetcode.com/problems/maximum-units-on-a-truck/,3.5K,"Array,Greedy,Sorting",
1711. Count Good Meals,29.30%,Medium,https://leetcode.com/problems/count-good-meals/,878,"Array,Hash Table",
1712. Ways to Split Array Into Three Subarrays,32.80%,Medium,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/,1.2K,"Array,Two Pointers,Binary Search,Prefix Sum",
1713. Minimum Operations to Make a Subsequence,48.50%,Hard,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/,588,"Array,Hash Table,Binary Search,Greedy",
1714. Sum Of Special Evenly-Spaced Elements In Array,49.20%,Hard,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array/,,,True
1715. Count Apples and Oranges,76.00%,Medium,https://leetcode.com/problems/count-apples-and-oranges/,,,True
1716. Calculate Money in Leetcode Bank,66.30%,Easy,https://leetcode.com/problems/calculate-money-in-leetcode-bank/,581,Math,
1717. Maximum Score From Removing Substrings,46.20%,Medium,https://leetcode.com/problems/maximum-score-from-removing-substrings/,562,"String,Stack,Greedy",
1718. Construct the Lexicographically Largest Valid Sequence,52.20%,Medium,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/,476,"Array,Backtracking",
1719. Number Of Ways To Reconstruct A Tree,43.60%,Hard,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree/,187,"Tree,Graph",
1720. Decode XORed Array,85.80%,Easy,https://leetcode.com/problems/decode-xored-array/,1.3K,"Array,Bit Manipulation",
1721. Swapping Nodes in a Linked List,69.00%,Medium,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/,4.7K,"Linked List,Two Pointers",
1722. Minimize Hamming Distance After Swap Operations,48.50%,Medium,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/,762,"Array,Depth-First Search,Union Find",
1723. Find Minimum Time to Finish All Jobs,42.50%,Hard,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/,833,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",
1724. Checking Existence of Edge Length Limited Paths II,52.40%,Hard,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii/,,,True
1725. Number Of Rectangles That Can Form The Largest Square,78.60%,Easy,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/,,,True
1726. Tuple with Same Product,60.70%,Medium,https://leetcode.com/problems/tuple-with-same-product/,,,True
1727. Largest Submatrix With Rearrangements,61.50%,Medium,https://leetcode.com/problems/largest-submatrix-with-rearrangements/,906,"Array,Greedy,Sorting,Matrix",
1728. Cat and Mouse II,39.30%,Hard,https://leetcode.com/problems/cat-and-mouse-ii/,236,"Array,Math,Dynamic Programming,Graph,Topological Sort,Memoization,Matrix,Game Theory",
1729. Find Followers Count,70.90%,Easy,https://leetcode.com/problems/find-followers-count/,,,True
1730. Shortest Path to Get Food,54.20%,Medium,https://leetcode.com/problems/shortest-path-to-get-food/,,,True
1731. The Number of Employees Which Report to Each Employee,47.90%,Easy,https://leetcode.com/problems/the-number-of-employees-which-report-to-each-employee/,,,True
1732. Find the Highest Altitude,79.10%,Easy,https://leetcode.com/problems/find-the-highest-altitude/,,,True
1733. Minimum Number of People to Teach,41.80%,Medium,https://leetcode.com/problems/minimum-number-of-people-to-teach/,,,True
1734. Decode XORed Permutation,63.20%,Medium,https://leetcode.com/problems/decode-xored-permutation/,673,"Array,Bit Manipulation",
1735. Count Ways to Make Array With Product,50.00%,Hard,https://leetcode.com/problems/count-ways-to-make-array-with-product/,243,"Array,Math,Dynamic Programming,Combinatorics,Number Theory",
1736. Latest Time by Replacing Hidden Digits,42.40%,Easy,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits/,303,"String,Greedy",
1737. Change Minimum Characters to Satisfy One of Three Conditions,35.40%,Medium,https://leetcode.com/problems/change-minimum-characters-to-satisfy-one-of-three-conditions/,,,True
1738. Find Kth Largest XOR Coordinate Value,61.10%,Medium,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value/,,,True
1739. Building Boxes,51.90%,Hard,https://leetcode.com/problems/building-boxes/,,,True
1740. Find Distance in a Binary Tree,69.40%,Medium,https://leetcode.com/problems/find-distance-in-a-binary-tree/,,,True
1741. Find Total Time Spent by Each Employee,89.10%,Easy,https://leetcode.com/problems/find-total-time-spent-by-each-employee/,,,True
1742. Maximum Number of Balls in a Box,73.60%,Easy,https://leetcode.com/problems/maximum-number-of-balls-in-a-box/,,,True
1743. Restore the Array From Adjacent Pairs,68.70%,Medium,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs/,,,True
1744. Can You Eat Your Favorite Candy on Your Favorite Day?,33.10%,Medium,https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day/,,,True
1745. Palindrome Partitioning IV,45.20%,Hard,https://leetcode.com/problems/palindrome-partitioning-iv/,795,"String,Dynamic Programming",
1746. Maximum Subarray Sum After One Operation,62.30%,Medium,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation/,,,True
1747. Leetflex Banned Accounts,66.60%,Medium,https://leetcode.com/problems/leetflex-banned-accounts/,,,True
1748. Sum of Unique Elements,76.40%,Easy,https://leetcode.com/problems/sum-of-unique-elements/,,,True
1749. Maximum Absolute Sum of Any Subarray,58.50%,Medium,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/,1.1K,"Array,Dynamic Programming",
1750. Minimum Length of String After Deleting Similar Ends,44.20%,Medium,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends/,,,True
1751. Maximum Number of Events That Can Be Attended II,57.30%,Hard,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii/,723,"Array,Binary Search,Dynamic Programming,Sorting",
1752. Check if Array Is Sorted and Rotated,50.10%,Easy,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,1.8K,Array,
1753. Maximum Score From Removing Stones,66.80%,Medium,https://leetcode.com/problems/maximum-score-from-removing-stones/,808,"Math,Greedy,Heap (Priority Queue)",
1754. Largest Merge Of Two Strings,46.20%,Medium,https://leetcode.com/problems/largest-merge-of-two-strings/,464,"Two Pointers,String,Greedy",
1755. Closest Subsequence Sum,36.70%,Hard,https://leetcode.com/problems/closest-subsequence-sum/,676,"Array,Two Pointers,Dynamic Programming,Bit Manipulation,Bitmask",
1756. Design Most Recently Used Queue,78.50%,Medium,https://leetcode.com/problems/design-most-recently-used-queue/,,,True
1757. Recyclable and Low Fat Products,92.20%,Easy,https://leetcode.com/problems/recyclable-and-low-fat-products/,,,True
1758. Minimum Changes To Make Alternating Binary String,58.30%,Easy,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string/,,,True
1759. Count Number of Homogenous Substrings,48.60%,Medium,https://leetcode.com/problems/count-number-of-homogenous-substrings/,612,"Math,String",
1760. Minimum Limit of Balls in a Bag,60.50%,Medium,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/,1.7K,"Array,Binary Search",
1761. Minimum Degree of a Connected Trio in a Graph,41.50%,Hard,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph/,276,Graph,
1762. Buildings With an Ocean View,79.00%,Medium,https://leetcode.com/problems/buildings-with-an-ocean-view/,,,True
1763. Longest Nice Substring,61.30%,Easy,https://leetcode.com/problems/longest-nice-substring/,1K,"Hash Table,String,Divide and Conquer,Bit Manipulation,Sliding Window",
1764. Form Array by Concatenating Subarrays of Another Array,53.00%,Medium,https://leetcode.com/problems/form-array-by-concatenating-subarrays-of-another-array/,,,True
1765. Map of Highest Peak,60.50%,Medium,https://leetcode.com/problems/map-of-highest-peak/,,,True
1766. Tree of Coprimes,39.60%,Hard,https://leetcode.com/problems/tree-of-coprimes/,,,True
1767. Find the Subtasks That Did Not Execute,80.90%,Hard,https://leetcode.com/problems/find-the-subtasks-that-did-not-execute/,,,True
1768. Merge Strings Alternately,82.60%,Easy,https://leetcode.com/problems/merge-strings-alternately/,2.1K,"Two Pointers,String",
1769. Minimum Number of Operations to Move All Balls to Each Box,85.30%,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box/,2K,"Array,String",
1770. Maximum Score from Performing Multiplication Operations,37.70%,Hard,https://leetcode.com/problems/maximum-score-from-performing-multiplication-operations/,2.4K,"Array,Dynamic Programming",
1771. Maximize Palindrome Length From Subsequences,35.10%,Hard,https://leetcode.com/problems/maximize-palindrome-length-from-subsequences/,482,"String,Dynamic Programming",
